itinerary_id,itinerary_name,kind,park_name,area,tpw_candidate_name,tpw_id,tpw_type,tpw_latitude,tpw_longitude,tpw_score,queue_candidate_name,queue_park_id,queue_ride_id,queue_score,match_status,review_note
early,Early Park Admission,planned,Epic Universe,Epic entrance,Boonie Bears Park Huai'an,f8be0150-944b-490a-9d7d-02614376af1a,,,,0.4104,Jurassic Park Discovery Center,64,6012,0.4492,REVIEW,
nintendo,Super Nintendo World priorities,planned,Epic Universe,Super Nintendo World,Chessington World of Adventures,ae959d1f-9fcc-4aab-8063-71e641fa57f4,,,,0.3808,Bluey's Wild World at Conservation Station,8,16545,0.3915,REVIEW,
ministry,Ministry of Magic,planned,Epic Universe,Wizarding Paris / Ministry,Oceans of Fun,b5a89552-3381-47ad-88cc-ab0087019c8b,,,,0.342,Tree of Life,8,13751,0.4515,REVIEW,
berk,The Untrainable Dragon,show,Epic Universe,Isle of Berk,Fantawild Dreamland Qingdao,d0baa476-92d8-434d-95c5-c5a1596727bc,,,,0.3256,,,,,REVIEW,
monsters,Monsters Unchained,planned,Epic Universe,Dark Universe,Boonie Bears Park Huai'an,f8be0150-944b-490a-9d7d-02614376af1a,,,,0.316,Monsters Unchained: The Frankenstein Experiment,334,14694,1.0,REVIEW,
blue,Blue Dragon dinner,meal,Epic Universe,Celestial Park,LEGOLAND Windsor,a4f71074-e616-4de4-9278-72fdecbdc995,,,,0.3585,,,,,REVIEW,
goodnight,Celestial Goodnight,show,Epic Universe,Celestial Park,,,,,,,,,,,REVIEW,
hagrid,Hagrid’s Magical Creatures Motorbike Adventure,planned,Islands of Adventure,Hogsmeade,Six Flags Great Adventure,556f0126-8082-4b66-aeee-1e3593fed188,,,,0.431,Hagrid's Magical Creatures Motorbike Adventure™,64,6682,1.0,REVIEW,
forbidden,Harry Potter and the Forbidden Journey,lightning,Islands of Adventure,Hogsmeade,Lotte World Adventure,d8a17554-14d9-44a1-915a-035bfeff884c,,,,0.3433,Harry Potter and the Forbidden Journey™,64,5992,1.0,REVIEW,
breakfast,Three Broomsticks breakfast,meal,Islands of Adventure,Hogsmeade,,,,,,,,,,,REVIEW,
ollivanders,Ollivanders and wand purchase,show,Islands of Adventure,Hogsmeade,WildWater Adventure,245f9457-8e64-457b-800a-0850e6364d93,,,,0.3142,,,,,REVIEW,
express,Optional Hogwarts Express evening extension,planned,Islands of Adventure,Hogsmeade ↔ Diagon Alley,Fantawild Water Park Yingtan,802480e9-7c5a-471b-ac1c-3c5f469233dd,,,,0.3103,Hogwarts Express™ - Hogsmeade™ Station,64,6015,0.5689,REVIEW,
mythos,Mythos lunch,meal,Islands of Adventure,The Lost Continent,,,,,,,,,,,REVIEW,
water,Water rides or remaining priorities,planned,Islands of Adventure,Toon Lagoon / Jurassic Park,Fantawild Water Park Yingtan,802480e9-7c5a-471b-ac1c-3c5f469233dd,,,,0.3087,Harry Potter and the Forbidden Journey™,64,5992,0.3963,REVIEW,
leaky,Leaky Cauldron breakfast,meal,Universal Studios Florida,Diagon Alley,LEGOLAND California,722116aa-56be-4466-8c6f-a5acbac05da2,,,,0.3094,,,,,REVIEW,
shutter,Shutterbutton’s Photography Studio,extra,Universal Studios Florida,Diagon Alley,Disney's Hollywood Studios,288747d1-8b4f-4a64-867e-ea7c9b27bad8,,,,0.3462,,,,,REVIEW,
gringotts,Escape from Gringotts,lightning,Universal Studios Florida,Diagon Alley,Hurricane Harbor Arlington,08e5d95c-7c73-4c65-b17a-06fede1801fb,,,,0.3435,Harry Potter and the Escape from Gringotts™,65,6014,1.0,REVIEW,
minion,Despicable Me Minion Mayhem,lightning,Universal Studios Florida,Minion Land,,,,,,,Despicable Me Minion Mayhem™,65,5984,1.0,REVIEW,
icecream,Florean ice-cream flight + Honeydukes cooler bag,extra,Universal Studios Florida,Diagon Alley,,,,,,,,,,,REVIEW,
bourne,The Bourne Stuntacular,show,Universal Studios Florida,Hollywood,Dorney Park,19d7f29b-e2e7-4c95-bd12-2d4e37d14ccf,,,,0.3253,,,,,REVIEW,
checkout,Check out and leave luggage with Bell Services,hotel,Departure,Hard Rock Hotel,,,,,,,,,,,REVIEW,
favorites,Favorite or missed Universal attractions,planned,Departure,USF / IOA,Universal Studios Japan,47f61fac-7586-41ac-ae80-61c9257cf33e,,,,0.3486,Meet Favorite Disney Pals at Adventurers Outpost,8,116,0.3918,REVIEW,
