itinerary_id,itinerary_name,kind,park_scope,selected_tpw_candidate,selected_queue_candidate,match_status,review_note,manual_latitude,manual_longitude,coordinate_parse_status,coordinate_status,coordinate_warning,coordinate_normalization_note,recommended_next_status
mythos,Mythos lunch,meal,Islands of Adventure,,,UNRESOLVED,"28.4725437, -81.4714508",28.4725437,-81.4714508,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
water,Water rides or remaining priorities,planned,Islands of Adventure,,,NOT_APPLICABLE,,,,NO_COORDINATE,MISSING,,,NOT_APPLICABLE
seven,Seven Dwarfs Mine Train,planned,Magic Kingdom,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
space,Space Mountain,planned,Magic Kingdom,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
breakfast,Friar’s Nook breakfast,meal,Magic Kingdom,,,UNRESOLVED,"28.4194° N, 81.5812°",28.4194,-81.5812,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,Inferred west longitude from Orlando context.,MANUAL
tiana,Tiana’s Bayou Adventure,lightning,Magic Kingdom,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
haunted,Haunted Mansion,lightning,Magic Kingdom,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
pirates,Pirates of the Caribbean,lightning,Magic Kingdom,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
boma,Boma dinner,meal,Resort / Transportation,,,UNRESOLVED,"28.3533° N, 81.6025° W",28.3533,-81.6025,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
typhoon,Typhoon Lagoon priorities,planned,Typhoon Lagoon,,,NOT_APPLICABLE,,,,NO_COORDINATE,MISSING,,,NOT_APPLICABLE
leaky,Leaky Cauldron breakfast,meal,Universal Studios Florida,,,UNRESOLVED,"28.4794619, -81.4695657",28.4794619,-81.4695657,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
shutter,Shutterbutton’s Photography Studio,extra,Universal Studios Florida,,,UNRESOLVED,"28.474386, -81.468193",28.474386,-81.468193,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
gringotts,Escape from Gringotts,lightning,Universal Studios Florida,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
minion,Despicable Me Minion Mayhem,lightning,Universal Studios Florida,,1,APPROVED,,,,NO_COORDINATE,MISSING,,,APPROVED
icecream,Florean ice-cream flight + Honeydukes cooler bag,extra,Universal Studios Florida,,,UNRESOLVED,"28.4712° N, 81.4688° W",28.4712,-81.4688,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
bourne,The Bourne Stuntacular,show,Universal Studios Florida,,,UNRESOLVED,"28.47596° N, -81.46692° W",28.47596,-81.46692,PARSED_DECIMAL,PROVISIONAL_IN_RANGE,,,MANUAL
