itinerary_id,activity_anchor,name,kind,park_name,area,source_page,window_label,commitment,include_in_catalog,notes
runaway,runaway,Runaway Railway decision point,planned,Hollywood Studios,Hollywood Boulevard · optional,docs/disney/day-02-animal-kingdom-hollywood.md,Before Star Tours only,false,YES,
star,star,Star Tours,lightning,Hollywood Studios,Echo Lake,docs/disney/day-02-animal-kingdom-hollywood.md,3:05–4:05 p.m.,true,YES,
rise,rise,Rise of the Resistance,lightning,Hollywood Studios,Galaxy’s Edge,docs/disney/day-02-animal-kingdom-hollywood.md,4:05–5:05 p.m.,true,YES,
alien,alien,Alien Swirling Saucers,lightning,Hollywood Studios,Toy Story Land,docs/disney/day-02-animal-kingdom-hollywood.md,4:40–5:40 p.m.,true,YES,
slinky,slinky,Slinky Dog Dash,lightning,Hollywood Studios,Toy Story Land,docs/disney/day-02-animal-kingdom-hollywood.md,5:35–6:35 p.m.,true,YES,
boma,boma,Boma dinner,meal,Resort / Transportation,Animal Kingdom Lodge,docs/disney/day-02-animal-kingdom-hollywood.md,7:00 p.m.,true,YES,
checkout,checkout,Check out and leave luggage,hotel,Magic Kingdom / Transfer,Animal Kingdom Lodge,docs/disney/day-03-magic-kingdom.md,Before first bus,false,YES,
seven,seven,Seven Dwarfs Mine Train,planned,Magic Kingdom,Fantasyland,docs/disney/day-03-magic-kingdom.md,Early Entry,false,YES,
space,space,Space Mountain,planned,Magic Kingdom,Tomorrowland,docs/disney/day-03-magic-kingdom.md,After Seven Dwarfs,false,YES,
breakfast,breakfast,Friar’s Nook breakfast,meal,Magic Kingdom,Fantasyland,docs/disney/day-03-magic-kingdom.md,≈8:45–9:05,false,YES,
tiana,tiana,Tiana’s Bayou Adventure,lightning,Magic Kingdom,Frontierland,docs/disney/day-03-magic-kingdom.md,9:20–10:20 a.m.,true,YES,
haunted,haunted,Haunted Mansion,lightning,Magic Kingdom,Liberty Square,docs/disney/day-03-magic-kingdom.md,10:45–11:45 a.m.,true,YES,
pirates,pirates,Pirates of the Caribbean,lightning,Magic Kingdom,Adventureland,docs/disney/day-03-magic-kingdom.md,11:25 a.m.–12:45 p.m.,true,YES,
lunch,lunch,Quick-service lunch,meal,Magic Kingdom,Nearby land,docs/disney/day-03-magic-kingdom.md,≈12:15–12:45,false,YES,
leave,leave,Return to Animal Kingdom Lodge,transfer,Transfer,Disney bus,docs/disney/day-03-magic-kingdom.md,Leave park ≈4:00–4:30,false,NO,
hardrock,hardrock,"Hard Rock check-in, dinner and pool",hotel,Hard Rock Hotel,Hard Rock Hotel,docs/disney/day-03-magic-kingdom.md,Early evening,false,YES,
early,early,Early Park Admission,planned,Epic Universe,Epic entrance,docs/universal/day-04-epic-universe.md,Arrive 60 min before opening,false,YES,
nintendo,nintendo,Super Nintendo World priorities,planned,Epic Universe,Super Nintendo World,docs/universal/day-04-epic-universe.md,Morning,false,YES,
ministry,ministry,Ministry of Magic,planned,Epic Universe,Wizarding Paris / Ministry,docs/universal/day-04-epic-universe.md,Late morning / early afternoon,false,YES,
berk,berk,The Untrainable Dragon,show,Epic Universe,Isle of Berk,docs/universal/day-04-epic-universe.md,Day-of showtime,true,YES,
monsters,monsters,Monsters Unchained,planned,Epic Universe,Dark Universe,docs/universal/day-04-epic-universe.md,Afternoon,false,YES,
blue,blue,Blue Dragon dinner,meal,Epic Universe,Celestial Park,docs/universal/day-04-epic-universe.md,5:15 p.m.,true,YES,
goodnight,goodnight,Celestial Goodnight,show,Epic Universe,Celestial Park,docs/universal/day-04-epic-universe.md,Optional,false,YES,
hagrid,hagrid,Hagrid’s Magical Creatures Motorbike Adventure,planned,Islands of Adventure,Hogsmeade,docs/universal/day-05-islands-of-adventure.md,Early Park Admission,false,YES,
forbidden,forbidden,Harry Potter and the Forbidden Journey,lightning,Islands of Adventure,Hogsmeade,docs/universal/day-05-islands-of-adventure.md,Morning,false,YES,
breakfast,breakfast,Three Broomsticks breakfast,meal,Islands of Adventure,Hogsmeade,docs/universal/day-05-islands-of-adventure.md,Before 10:00 a.m.,true,YES,
ollivanders,ollivanders,Ollivanders and wand purchase,show,Islands of Adventure,Hogsmeade,docs/universal/day-05-islands-of-adventure.md,Late morning,false,YES,
express,express,Optional Hogwarts Express evening extension,planned,Islands of Adventure,Hogsmeade ↔ Diagon Alley,docs/universal/day-05-islands-of-adventure.md,Late morning,false,YES,
mythos,mythos,Mythos lunch,meal,Islands of Adventure,The Lost Continent,docs/universal/day-05-islands-of-adventure.md,2:00 p.m.,true,YES,
water,water,Water rides or remaining priorities,planned,Islands of Adventure,Toon Lagoon / Jurassic Park,docs/universal/day-05-islands-of-adventure.md,After lunch,false,YES,
leaky,leaky,Leaky Cauldron breakfast,meal,Universal Studios Florida,Diagon Alley,docs/universal/day-06-universal-studios.md,9:00–≈9:40 a.m.,true,YES,
shutter,shutter,Shutterbutton’s Photography Studio,extra,Universal Studios Florida,Diagon Alley,docs/universal/day-06-universal-studios.md,10:00 a.m.,true,YES,
gringotts,gringotts,Escape from Gringotts,lightning,Universal Studios Florida,Diagon Alley,docs/universal/day-06-universal-studios.md,Late morning,false,YES,
minion,minion,Despicable Me Minion Mayhem,lightning,Universal Studios Florida,Minion Land,docs/universal/day-06-universal-studios.md,Late morning / early afternoon,false,YES,
icecream,icecream,Florean ice-cream flight + Honeydukes cooler bag,extra,Universal Studios Florida,Diagon Alley,docs/universal/day-06-universal-studios.md,Afternoon / final Diagon Alley pass,true,YES,
bourne,bourne,The Bourne Stuntacular,show,Universal Studios Florida,Hollywood,docs/universal/day-06-universal-studios.md,Warmest part of afternoon,false,YES,
checkout,checkout,Check out and leave luggage with Bell Services,hotel,Departure,Hard Rock Hotel,docs/universal/day-07-departure.md,Early morning,false,YES,
favorites,favorites,Favorite or missed Universal attractions,planned,Departure,USF / IOA,docs/universal/day-07-departure.md,Morning–≈2:15 p.m.,false,YES,
pickup,pickup,Return to Hard Rock and retrieve luggage/car,transfer,Departure,Hard Rock Hotel,docs/universal/day-07-departure.md,≈2:15–2:45 p.m.,false,NO,
airport,airport,Drive to MCO and return rental car,flight,Departure,MCO,docs/universal/day-07-departure.md,Car return ≈4:00 p.m.; flight 6:44 p.m.,true,NO,
